text,media,label
"--

Pink mengungkapkan dirinya mengidap infeksi pernapasan yang membuat dirinya terpaksa membatalkan sejumlah konser rangkaian Trustfall Tour.

Informasi ini datang setelah beberapa waktu lalu Pink menyebut membatalkan sejumlah pertunjukan karena ada masalah keluarga yang sangat mendesak.

ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT

""Saya sungguh meminta maaf mengumumkan saya mengalami infeksi pernapasan dan dokter saya menyebut saya tak bisa tampil di acara di Vancouver pada Jumat dan Sabtu,"" kata Pink dalam pengumuman di Instagram.

""Live Nation sedang bekerja dengan tanggal baru untuk menjadwalkan ulang acara,"" lanjutnya. ""Saya sangat menantikan untuk tampil di Vancouver dan menampilkan pertunjukan yang luar biasa untuk semua orang,""

""Sementara itu, saya berharap semua orang sehat dan saya mengirimkan banyak cinta,"" katanya.

[Gambas:Instagram]







Page Six menyebut Pink sebelumnya mengumumkan pembatalan konser pada Rabu dan Kamis malam di Tacoma, Washington.

Pengumuman Senin malam itu menyebut alasan pembatalan karena ""masalah medis keluarga"" yang membutuhkan ""perhatian segera mungkin.""

""Saya mengirim permintaan maaf kepada semua orang atas ketidaknyamanan yang ditimbulkan,"" kata penyanyi 44 tahun tersebut. ""Semoga semua sehat dan penuh cinta,""

Pink memulai tur Trustfall Tour di Amerika Serikat pada 12 Oktober lalu. Tur ini merupakan kelanjutan konser musim panas yang jadi bagian dalam Summer Carnival 2023.

Namun pada September lalu, Pink juga terpaksa membatalkan acara karena infeksi sinus yang parah.

Kejadian ini memperpanjang sederet peristiwa yang menyertai konser Pink selama beberapa bulan terakhir. Salah satunya adalah saat Pink dilempar abu jenazah oleh salah satu penonton konsernya.",CNN Indonesia,Entertainment
"--

Coldplay bakal menjual Infinity Tickets untuk konser Music Of The Spheres World Tour di Jakarta pada hari ini, Senin (16/10), pukul 10.00 WIB. Tiket tersebut dijual kepada penonton dengan harga lebih murah.

Berdasarkan situs Coldplay, Infinity Tickets dijual seharga US$20 atau sekitar Rp315 ribu (US$1= Rp15.703) per lembar. Penonton wajib membeli dua tiket dalam satu kali transaksi.

ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT

Selain itu, penonton yang membeli Infinity Tickets tidak akan bisa memilih kategori tempat duduk. Tiket tersebut akan menempatkan penonton secara acak.

""Bisa dari barisan belakang, di arena, hingga kursi terbaik,"" tulis keterangan di situs resmi.

Pembelian Infinity Tickets dapat diakses melalui Loket.com. Selain itu, pembelian tiket hanya diperuntukkan kepada penggemar yang mendapatkan email berisi tautan untuk mengakses laman pembelian.

Meski demikian, Infinity Tickets hanya dijual secara terbatas sehingga tidak semua penggemar dapat membeli tiket tambahan tersebut.

[Gambas:Video CNN]







Infinity Tickets ini dijual untuk konser Coldplay di Jakarta yang bakal digelar di Stadion Utama Gelora Bung Karno (SUGBK) pada 15 November mendatang.

Selain Jakarta, Coldplay menjual Infinity Tickets untuk setiap konsernya di seluruh negara yang mereka kunjungi, termasuk konser dua hari di Jepang, Filipina, dan Thailand.

Infinity Tickets juga dijual untuk konser di Singapura yang bakal digelar selama enam hari, untuk tanggal 23, 24, 26, 27, 30, dan 31 Januari 2024 di National Stadium.

Coldplay akan menjual Infinity Tickets yang dijual seharga Rp300-an ribu untuk konser di Jakarta. (Tangkapan layar situs Infinity Tickets Coldplay) Coldplay akan menjual Infinity Tickets yang dijual seharga Rp300-an ribu untuk konser di Jakarta. (Tangkapan layar situs Infinity Tickets Coldplay)

Harga Infinity Tickets ini dijual lebih murah daripada tiket yang dijual dengan harga biasa. Sebagai perbandingan, kategori termurah untuk konser Coldplay di Jakarta, yaitu CAT 8, dibanderol seharga Rp800 ribu. Sedangkan Ultimate Experience atau CAT 1 dijual dengan harga Rp11 juta.

Sebelumnya, seluruh tiket konser Coldplay di Jakarta resmi sold out atau ludes pada 19 Mei lalu. Hal itu diumumkan promotor lebih dari tiga jam sejak general sale dibuka pukul 10.00 WIB.

Coldplay untuk pertama kalinya akan konser di Indonesia pada 15 November mendatang. Chris Martin dan personel lainnya akan menggelar Music of the Spheres World Tour di Stadion Utama Gelora Bung Karno Jakarta.

Band asal Inggris itu hanya akan manggung di Jakarta selama satu hari, sementara Coldplay bakal konser di beberapa negara tetangga untuk beberapa hari.

Seperti, enam hari untuk rangkaian tur yang sama di Singapura pada Januari 2024, serta dua hari di Tokyo, Jepang; Kaohsiung, Taiwan; Manila, Filipina; Bangkok, Thailand; dan Perth, Australia.",CNN Indonesia,Entertainment
"--

Taylor Swift akan resmi memulai leg internasional The Eras Tour melalui konser di Buenos Aires, Argentina, pada 9-11 November nanti. Namun sejumlah Swifties sudah di lokasi konser sejak Juni 2023.

Dilaporkan Pitchfork, Kamis (2/11), sejumlah penggemar yang berusia awal 20-an sudah mendirikan tenda di luar venue konser, River Plate Stadium, sejak lima bulan lalu.

ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT

Dalam foto-foto yang ditampilkan Pitchfork, setidaknya ada empat tenda Swifties ini berjejer menempel di sisi luar pagar kawasan venue tersebut. Tujuan mereka cuma satu, bisa jadi paling awal di depan antrian masuk venue.

""Kami sudah di tenda ini selama lima bulan,"" kata seorang penggemar berusia 21 tahun. Ia enggan menyebutkan namanya karena ayahnya tak tahu ia selama ini tinggal di tenda depan venue konser.

""Saya biasanya bilang ke ayah saya berada di taman minum atau nongkrong dengan seseorang, atau mengunjungi seorang teman saya yang tinggal dekat stadion,"" lanjutnya.







Pitchfork melaporkan mereka menempati sejumlah tenda di sekeliling stadion, dan secara bergiliran melakukan rotasi dalam sistem yang sudah dibuat dengan cermat.

Media musik itu menyebut, ada sebuah laman spreadsheet yang dibuat khusus soal itu oleh dua admin mereka dan selalu diperbaharui. Satu tenda terdaftar 60 nama.

Kebanyakan dari para penggemar itu adalah remaja putri. Namun mereka sepakat, siapapun yang berusia di bawah 18 tahun dilarang ikutan. Semakin lama seseorang menjaga tenda, ada peluang untuk menjadi orang pertama masuk ke venue.

""Fakta bahwa ada begitu banyak orang membuat segalanya lebih mudah,"" kata fan berusia 20 tahun yang bernama Irina.

Lanjut ke sebelah..

[Gambas:Video CNN]





",CNN Indonesia,Entertainment
"--

Penyanyi asal Inggris Morrissey resmi membatalkan konsernya di Singapura yang mulanya akan diselenggarakan pada Kamis (9/11) di The Star Theatre, Singapura.

Kabar ini diumumkan melalui situs resmi penjualan tiket Ticketmaster, seperti diberitakan oleh The Straits Times, Minggu (5/11). Menurut pengumuman itu, konser Morrissey batal karena masalah teknis.

ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT

""Disebabkan oleh kendala teknis dan alasan yang berada di luar kontrol kami, dengan amat menyesal kami mengumumkan bahwa konser Morrissey: 40 Years of Morrissey di Singapura pada 9 November 2023 di The Star Theatre tidak akan terselenggara,"" tulis pengumuman tersebut.

Belum diketahui lebih lanjut terkait detail kendala teknis dan alasan utama yang menyebabkan batalnya konser Morrissey di Singapura.

Teruntuk pemegang tiket konser Morrissey di Singapura, pihak promotor Live Nation menyediakan akses pengembalian dana yang dapat diakses langsung melalui situs Ticketmaster.

""Para penggemar yang telah membeli tiket akan mendapatkan pengembalian dana penuh dari Ticketmaster melalui akses pembayaran orisinal,"" sebut pengumuman tersebut.

""Diperlukan waktu hingga 40 hari kerja untuk memproses pengembalian dana. Silakan menghubungi Ticketmaster,"" kata mereka.

[Gambas:Video CNN]







Menurut laporan Straits Times, sejauh ini agenda Morrissey di tiga negara lain yakni Thailand, Indonesia, dan Jepang masih akan diselenggarakan sesuai jadwal.

Namun, Morrissey memiliki beberapa rekam jejak untuk membatalkan konsernya secara mendadak. Salah satu yang terakhir terjadi Nottingham, Inggris pada Juli lalu karena ""keadaan yang tidak terduga"".

Sementara itu, serangkaian pertunjukan Morrissey di Amerika Selatan pada September lalu juga ditunda karena ia terkena demam berdarah.

Dalam rangkaian tur konser ini, Morrissey akan konser di Jakarta pada 22 November 2023 di Istora Senayan Jakarta. Konser ini merupakan bagian dari tur dunia bertajuk 40 Years of Morrissey.

Terakhir kali Morrissey menyambangi Indonesia adalah pada 2016 lalu ketika menggelar konser di Senayan Golf Driving Range, Jakarta. Saat itu merupakan kali kedua Morrissey manggung di Jakarta setelah 2012.

Sehingga, perayaan 40 tahun Morrissey bermusik pada November nanti menjadi konser ketiganya di Indonesia.

Morrissey merupakan penyanyi asal Inggris bernama asli Steven Patrick Morrissey. Ia dikenal luas sebagai frontman sekaligus vokalis band rock The Smiths pada 1982 hingga band itu bubar pada 1987.







Bersama The Smiths, Morrissey menelurkan empat album, yaitu The Smiths (1984), Meat Is Murder (1985), The Queen Is Dead (1986), dan Strangeways, Here We Come (1987).

The Smiths merupakan band indie rock yang dikenal lewat sejumlah lagu hit, seperti Heaven Knows I'm Miserable, There Is a Light That Never Goes Out, hingga Please, Please, Please, Let Me Get What I Want.

Sejak The Smiths bubar, Morrissey fokus menjalani karier solo. Sebagai musisi solo, ia sudah menelurkan sejumlah album. Dimulai dari Viva Hate (1988) hingga album teranyar Without Music the World Dies yang baru rilis awal tahun ini.

Beberapa lagu yang dirilis Morrissey secara solo, seperti Now My Heart Is Full, Speedway, First of the Gang to Die, Sister, I'm a Poet, hingga Suedehead.",CNN Indonesia,Entertainment
"--

Sejumlah penggemar Coldplay berhasil membeli tiket tambahan konser Music Of The Spheres World Tour di Jakarta yang dijual pada hari ini, Senin (16/10).

Salah satu netizen mendapatkan Infinity Tickets sebelum hari ulang tahunnya. Sehingga, ini menjadi kado terbaik yang pernah ia dapatkan.

ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT

""Best early gift birthday ever,"" cuit akun @fiolaolaa, Senin (16/10).







Salah satu netizen lain dengan nama akun @cindywilliam13 juga berhasil membeli Infinity Ticket setelah berkali-kali gagal ""war"" tiket konser Coldplay di Jakarta.

Ia bercerita berkali-kali ""kalah perang"" ketika promotor menjual tiket presale dan general sale pada Mei lalu. Akhirnya netizen tersebut berhasil mendapatkan tiket yang dijual secara resmi dengan harga miring.

""Aku sudah coba presale sama public sale tapi enggak dapat terus padahal sudah standby juga, tapi akhirnya bisa menang war setelah sekian kali,"" katanya kepada CNNIndonesia.com.







Seorang netizen lain juga mengungkapkan rasa bahagianya lewat Instagram Story setelah berhasil membeli Inifinity Tickets konser Coldplay di Jakarta.

Netizen dengan nama akun @alfnurr_ mengatakan Infinity Tickets merupakan ""pertarungan terakhir"" untuk mendapatkan tiket konser Coldplay.

Ia pun memenangkan ""pertarungan"" itu dan berhasil membeli tiket yang dijual seharga Rp320 ribu. Netizen tersebut mengatakan telah mendaftarkan diri untuk membeli Infinity Tickets sejak Coldplay masih tur di Amerika.

""Gua udah sign up infinity ticket dari awal Coldplay buat kategori tiket ini, lebih tepatnya pas mereka masih tour di Amerika,"" tulisnya di Instagram Story.

""Dan gua udah dapet email link loket untuk pembelian kemarin jam 8 Pagi WIB, dan sekarang gua dapet tiket infinity ini karena emang rezeki gua aja,"" lanjutnya.

Lanjut ke sebelah...",CNN Indonesia,Entertainment
"--

Mantan vokalis Naff Rusyaedi Makmun atau Ady melarang mantan bandnya membawakan lagu-lagu ciptaannya. Dalam video yang diunggah ke Instagram, Ady eks Naff menyatakan larangan tersebut berlaku mulai 29 September.

Larangan tersebut, kata Ady, berlaku untuk lagu-lagu yang ia ciptakan semasa bergabung di Naff. Larangan menyanyikan lagu tersebut bagi Naff berlaku hingga waktu yang belum ditentukan.

ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT

""Untuk diketahui, pencinta musik Indonesia, teman-teman EO, manajemen Naff, dan khususnya personel Naff, hari Jumat ini tanggal 29 September 2023 dan sampai kapan pun, saya menyatakan bahwa saya tidak mengizinkan Naff untuk membawakan semua lagu-lagu saya, karya cipta saya,"" kata Ady.

Dalam kesempatan itu, ia mengatakan pernyataan terbuka terkait larangan membawa lagu-lagunya dibuat agar para personel Naff saat ini bisa saling menghargai karya-karya ciptaan orang lain.

""Tujuan saya membuat pernyataan terbuka ini adalah agar kita bisa sama-sama saling menghargai dan beretika terhadap karya-karya cipta orang lain,"" tuturnya.

[Gambas:Video CNN]







Dalam unggahan tersebut, Ady juga menampilkan pernyataan resmi tertulisnya bersama kuasa hukum, TKNP Law Firm, terkait melarang Naff menyanyikan lagu-lagu ciptaannya. Ia menyoroti tak memiliki hubungan apa pun dengan Naff sejak keluar pada 2010.

Ia membuat daftar lagu ciptaannya selama di Naff. Berdasarkan daftar tersebut, sekitar 67 lagu diciptakan Ady dengan sembilan lagu hit, seperti A.N.G, Kau Masih Kekasihku, Ketika Semuanya Harus Berakhir, hingga Bila Nanti Kau Milikku.

""Terhitung sejak lagu-lagu itu diciptakan, Ady tidak pernah mengalihkan, menyerahkan, menghibahkan dan/atau menjual hak atas lagu-lagu ciptaannya kepada masing-masing anggota dan/atau kepada Naff.""

""Selama kurun waktu 13 tahu sejak Ady keluar dari Naff hingga saat ini, Naff masih membawakan lagu-lagu ciptaan Ady secara komersil tanpa meminta izin kepada Ady dan Ady tidak mendapatkan manfaat ekonomi baik secara langsung maupun melalui lembaga manajemen kolektif atas penggunaan secara komersil lagu-lagu ciptaannya oleh Naff,"" keterangan tertulis Ady.

Lanjut ke sebelah...",CNN Indonesia,Entertainment
"--

Taylor Swift kini jadi miliarder baru berkat turnya yang sukses, The Eras Tour. Meski angka resmi total belum rilis, tapi tur ini diproyeksi menghasilkan US$2,2 miliar atau setara dengan Rp34,8 triliun.",CNN Indonesia,Entertainment
"--

Jungkook BTS dipastikan bakal tampil di MTV Europe Music Awards (EMAs) 2023. Ia menjadi satu-satunya bintang Kpop yang diumumkan dalam daftar lineup pertama ajang penghargaan musik tersebut.

Ini juga menandakan pertama kalinya Jungkook hadir dan tampil di ajang penghargaan sebagai solois tanpa ditemani teman-temannya di BTS.

ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT

Selain Jungkook, EMAs juga mengumumkan jajaran penampil pertama dalam ajang penghargaan itu. Anne Marie, Coi Leray, dan David Guetta akan berbagi panggung dengan Jungkook.

Manuel Turizo, Ozuna, Rema, Reneé Rapp, Sabrina Carpenter, 30 Seconds to Mars, dan The Kid Laroi juga dipastikan akan tampil di EMAs 2023.







Sementara itu, Jungkook BTS juga masuk nominasi EMAs 2023 sebagai solois. Ia bakal bersaing dalam kategori Best Song untuk Seven hasil kolaborasinya dengan Latto, kemudian Best K-pop, serta Biggest Fans.

Sedangkan, Taylor Swift mendominasi daftar nominasi MTV Europe Music Awards 2023. Musisi tersebut masuk tujuh nominasi dalam ajang penghargaan tahunan tersebut.

Berdasarkan rilis resmi MTV EMA, Taylor Swift masuk beberapa nominasi utama, seperti Best Song, Best Video, dan Best Artist. Ia juga masuk Best Pop, Best Live, Biggest Fans, dan Best US Act.

Ia disusul Olivia Rodrigo dan SZA dengan enam nominasi termasuk tiga kategori utama. Posisi selanjutnya adalah Doja Cat, Måneskin, Miley Cyrus dan Nicki Minaj dengan empat nominasi.

Tiara Andini dari Indonesia juga untuk pertama kalinya masuk nominasi MTV EMA 2023. Ia menjadi nominee Best Asian Act dan bersaing dengan beberapa musisi lainnya, seperti boyband Korea Selatan Treasure.

Di sisi lain, Jungkook BTS juga bakal merilis album solo perdananya, bertajuk GOLDEN, pada 3 November 2023. Ia menjadi member terakhir BTS yang debut sebagai seorang solois.

Berdasarkan pernyataan resmi agensi di platform khusus penggemar, album solo Jungkook bakal rilis pada 3 November pukul 11.00 WIB. Fan pun sudah bisa memesa album itu pada 4 Oktober lalu.

Tak hanya itu, album tersebut akan memiliki 11 lagu, termasuk dua yang telah dirilis sebagai single, yakni Seven dan 3D.",CNN Indonesia,Entertainment
"--

Andika mengaku dikeluarkan dari band Peterpan pada 2006 silam secara tiba-tiba. Namun, Ariel yang kini menjadi vokalis NOAH menceritakan lebih lengkap dari sisinya.

Ketika berbincang dengan Ferdy Element, Ariel mengaku keputusan mengeluarkan Andika dari Peterpan merupakan akumulasi yang sudah menumpuk selama bertahun-tahun.

Ariel mengatakan permasalahan mulai muncul ketika Peterpan mulai menggarap album pertama dan kedua, Taman Langit (2003) dan Bintang Di Surga (2004).

ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT

""Mungkin masalahnya sangat kelihatan itu pas kita punya album sendiri. Kan Andika tinggal mainin yang sudah ada,"" kata Ariel dalam kanal YouTube Ferdy ELEMENT yang diunggah pada Kamis (12/10).

""Nah, pas begitu masuk lagu sendiri dia agak kebingungan,"" imbuhnya. ""Dari album pertama itu sudah agak kesulitan dia. Dia ngisi [bagian keyboard], dia berusaha, tapi [penilaian yang lain], 'Ah, kayaknya kurang enak'.""

[Gambas:Video CNN]







Ariel melihat Andika frustrasi karena tidak bisa memenuhi ekspektasi bandnya untuk mengaransemen bagian keyboard. Namun, Ariel tidak mempermasalahkannya karena menganggap Andika bakal mengalami kemajuan di kemudian hari.

Namun, harapan Ariel itu tidak terwujud ketika Peterpan mulai menggarap album ketiga, bertajuk Hari Yang Cerah. Saat itu, kata Ariel, Peterpan sedang dalam mode ""serius"" karena ada kontrak yang harus dipenuhi.

""Gue ingat pernyataan Andika, 'Peterpan sudah enggak fun',"" kata Ariel meniru ucapan Andika saat itu.

""Tapi memang pasti enggak fun. Gimana enggak? Kita main musik dari hobi dan menjadi profesional. Kalau kita profesional, pasti enggak se-fun pas jadi hobi. Itu sebuah tanggung jawab.""

Ariel menjelaskan saat itu Peterpan sedang dihadapkan tenggat waktu sehingga dia mesti mengumpulkan materi-materi lagu dari semua personel.

Andika saat itu, kata Ariel, tetap dalam kondisi yang sama. Andika tetap buntu dalam mengisi bagian keyboard yang seharusnya menjadi tugasnya.

""Apa pun yang dia isi, kita kurang suka,"" kata Ariel mengakui. ""Sudah Uki yang bikin, Andika tinggal main, itu juga kesulitan. 'Sudah, cukup,' gue bilang.""

Lanjut ke sebelah...",CNN Indonesia,Entertainment
"--

Jeremy Renner baru-baru ini mengumumkan bakal comeback ke dunia tarik suara. Ia bakal merilis karya musik baru yang terinspirasi dari kecelakaan saat membersihkan salju dan hampir merenggut nyawanya.

Hal itu diumumkan aktor pemeran Hawkeye dalam akun Instagram pribadinya. Ia mengunggah sebuah foto bertuliskan ""Love and Titanium"" yang tampak seperti desain cover album terbarunya.

ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT

""Kumpulan musik yang kami tulis tentang berbagai pencapaian dalam perjalanan pemulihan saya sejak 1 Januari tahun ini,"" tulis Renner pada keterangan unggahan foto itu.

""Love and Titanium, menyakitkan, sangat menyembuhkan, dan pada akhirnya melegakan telah saya ciptakan. Saya harap saya mempunyai keberanian untuk berbagi dengan Anda semua,"" lanjutnya.

Pada foto tersebut juga tertulis kata ""soon"" yang mengisyaratkan proyek album itu akan rilis dalam waktu dekat. Renner belum merinci tanggal persis perilisan album tersebut.

[Gambas:Instagram]







Aktor Marvel Cinematic Universe (MCU) ini sebelumnya telah merilis beberapa karya musik. Ia merilis lagu rock edgy berjudul Heaven Don't Have a Name pada 2019 dan EP The Medicine pada Maret 2020.

Di sisi lain, Jeremy Renner sempat dirawat di rumah sakit usai mengalami kecelakaan saat membersihkan salju pada 1 Januari 2023.

Ia kemudian dirawat karena mengalami trauma di dada dan tulang tubuhnya setelah mobil pembersih salju seberat 6,4 ton melindas dirinya.

Kecelakaan itu terjadi setelah Renner berusaha menyelamatkan keponakannya dari mobil yang ia kendarai mengalami kerusakan mesin sehingga tak bisa dikendalikan.

Insiden itu terjadi di rumahnya di Lake Tahoe, Nevada, setelah selama beberapa waktu diterpa badai salju yang parah.

Saat Jeremy Renner terlindas, keponakan yang saat itu berada di tempat kejadian perkara (TKP) membantu aktor pemeran Hawkeye itu hingga bantuan medis datang.

Beberapa bulan setelah menjalani perawatan dan pemulihan, sang aktor kembali ke red carpet untuk menghadiri acara premier serial terbarunya yang berjudul Rennervations.

Ketika hadir di acara tersebut pada 11 April lalu, Renner masuk ke venue acara menggunakan tongkat untuk membantunya berjalan.",CNN Indonesia,Entertainment
